Name	Sets	ImageFile	Cost	Damage	Momentum	Type	Target	Traits	Wrestler Logo	Game Text
Amazing Display of Power	AEW	AmazingDisplayOfPower.jpg	0	0	2	Action				Tie-Up Enters - You may play a maneuver from your hand or discard. If played from hand it gains Power Attack.
Arrive In Style	AEW	ArriveInStyle.jpg	0	0	1	Action				Enters - Place up to two cards from your Market beneath your Purchase Deck, replace. Draw a card and gain 1 Stamina.
Circle Opponent	AEW	CircleOpponent.jpg	0	0	1	Action				Ready Enters - Draw two cards then discard a card. Tie-Up Play - Play a maneuver with cost 2 or less from your discard.
Draw Heat	AEW	DrawHeat.jpg	0	0	5	Action				
Get a Pop	AEW	GetAPop.jpg	0	0	2	Action				Permanent.
Irish Whip	AEW	IrishWhip.jpg	0	0	2	Action		Set-up		Tie-Up Enters - Look at the top three cards of your Draw Deck, you may play a maneuver from among them. Discard the rest. 
Quick Thinking	AEW	QuickThinking.jpg	0	0	3	Action				Enters - Discard a card then draw two cards. 
Ready For a Fight	AEW	ReadyForAFight.jpg	0	0	2	Action				Ready Enters - Draw a card. Ongoing - Your maneuvers are +1D.
Study Opponent	AEW	StudyOpponent.jpg	0	0	1	Action				Enters - Draw a card, you may then Cycle a card (Discard a card to draw a card). Recovery Play - You may put a card from your Discard beneath your Purchase deck to Gain 3 Stamina.
Take a Breather	AEW	TakeABreather.jpg	0	0	2	Action				Recovery Enters - Place a card from your discard beneath your draw deck. Gain 2 Stamina.
A Little Bit of the Bubbly	AEW	ALittleBitOfTheBubbly.jpg	1	0	2	Action				Ongoing - Each player gets +1 Hand. Ready Enters - Choose an opponent to discard two cards. Chris Jericho Enters - Gain 3 Stamina.
Burst of Energy	AEW	BurstOfEnergy.jpg	1	0	3	Action				Recovery Enters - Shuffle up to three cards from your discard into your draw deck. Gain 3 Stamina.
Grab the Mic	AEW	GrabTheMic.jpg	1	0	0	Action				Sudden. Enters - Scout then choose one: Attempt to Draw Heat or Attempt to Get a Pop 
I Digress	AEW	IDigress.jpg	1	0	2	Action				Enters - You may discard up to two cards. Place up to that many cards from your discard beneath your draw deck then draw that many cards and gain that much Stamina.
Intimidate Opponent	AEW	IntimidateOpponent.jpg	1	0	2	Action				Enters - Opponent discards a card.
Tighten Your Grip	AEW	TightenYourGrip.jpg	1	0	2	Action				Follow-Up - Enters - The Followed Maneuver gains Permanent this turn.
Chain Wrestling	AEW	ChainWrestling.jpg	3	0	2	Action		Set-up		Permanent. Tie-Up Action - Commit : Play a maneuver from your hand that shares a type with one in your ring. It gains 'Enters - Draw a card'. 
Perpetual Offensive Motion	AEW	PerpetualOffensiveMotion.jpg	3	0	2	Action				Follow-Up - When played after a maneuver you may play a maneuver ith less damage from your hand or discard. if that maneuver is a strike it gains "Play - Draw a card"
Quicken the Pace	AEW	QuickenThePace.jpg	3	0	1	Action				Permanent. Ongoing - Each player gets +1 Hand.
Skilled Grappler	AEW	SkilledGrappler.jpg	3	0	1	Action				Permanent. Ongoing - Your Grapple maneuvers have Cost -1.
Skilled Striker	AEW	SkilledStriker.jpg	3	0	1	Action				Permanent. Ongoing - Your Strike maneuvers have Cost -1.
Skilled Submissionist 	AEW	SkilledSubmissionist.jpg	3	0	1	Action				Permanent. Ongoing - Your Submission maneuvers have Cost -1.
All Rounder	AEW	AllRounder.jpg	5	0	3	Action				Enters - If you have a Strike in your ring, Scout. A Grapple in your ring, you may put up to one card from your discard beneath your draw deck. A Submission in your ring, you may Tuck up to two cards from your Discard. If you have all three, you may then Draw a card and gain 3 Stamina. 
Heat Magnent	AEW	HeatMagnent.jpg	5	0	0	Action				Permanent. Play - Draw a card. Ongoing - Your copies of Draw Heat gain Permanent.
Heighten the Drama	AEW	HeightenTheDrama.jpg	5	0	1	Action				Enters - Choose one: Attempt to Draw Heat, or Attempt to Get a Pop, or Attempt to Slap Opponent, or Attempt to Intimidate Opponent.  Toni Storm - The Token created gains 'Enters - Choose another option from Heighten the Drama. 
Strategic Beatdown	AEW	StrategicBeatdown.jpg	5	0	2	Action				Recovery Enters - Choose up to two non-response cards in your discard pile. Put up to one in your hand put the rest beneath either your draw deck or purchase deck.
Will of the Invisible Hand	AEW	WillOfTheInvisibleHand.jpg	5	0	2	Action				Enters - Draw a card and Attempt to Draw Heat. Ready - Draw an addiontional card. Don Callis - When discarded to an ability you control gain 1 Stamina and you may Tuck a card from your Discard 
Grinding Halt	AEW	GrindingHalt.jpg	6	0	3	Action				Ongoing - While uncommitted, maneuvers played from outside a player's hand non-cumulatively deal half damage, rounded up.
Highly Consistent	AEW	HighlyConsistent.jpg	6	0	2	Action				Permanent. Ongoing - Maneuvers that share a name with a card in your ring are +2D.
Taekwondo Master 	AEW	TaekwondoMaster.jpg	6	0	5	Action			Mike Bailey	Ongoing - Your Kicks are +2D. Enters - You may discard a card, if you do Play a Kick from your Discard. Otherwise Scout then draw a card. 
Chin Up, Tits Out	AEW	ChinUpTitsOut.jpg	7	0	2	Action			Toni Storm	Enters - Gain 4 Stamina then choose up to one Action card and up to one Maneuver from your discard. Put one of them into your hand, you may then play the other.
Amateurs	AEW	Amateurs.jpg	8	0	4	Action				Ready Enters - Opponent may discard a maneuver with cost 5 or greater. If they do not, they discard two cards.
Purveyor of Violence 	AEW	PurveyorOfViolence.jpg	8	0	4	Action			Jon Moxley 	Enters - Reveal your the top six cards of your draw deck and pick a card from among them. Put that card into your hand then your opponent picks a maneuver from the remaining cards, play that maneuver. Discard the cards that are left. 
Whose House?	AEW	WhoseHouse.jpg	8	0	3	Action			Swerve Strickland	Enters - Choose up to three cards from your discard and for each put it beneath your draw deck or purchase deck. Look at the top three cards of your Draw deck, you may play one of those cards, discard the rest. 
Dominating Presence	AEW	DominatingPresence.jpg	10	0	3	Action			Bobby Lashley 	Relentless. Ongoing - Your maneuvers are +2D and Opponent's Hold is -1.
I Must Bid You Adieu	AEW	IMustBidYouAdieu.jpg	10	0	3	Action			Kenny Omega 	Enters - Opponent discards a card, you may put up to two cards from your discard beneath your draw deck, you may put up to two cards from your Market beneath your purchase deck (replace), draw a card, and gain 3 Stamina. 
World Class Endurance	AEW	WorldClassEndurance.jpg	10	0	5	Action				Resilient. Recovery Enters - Shuffle up to five cards from your discard into your draw deck. Gain 5 Stamina.
Arm Drag	AEW	ArmDrag.jpg	0	2	4	Grapple	A			Enters - Gain 1 Stamina
Armbar Takedown	AEW	ArmbarTakedown.jpg	0	2	2	Grapple	A	Set-up		Enters - You may play a submission with Target: A from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.
Belly-to-Belly Takedown	AEW	BellyToBellyTakedown.jpg	0	2	2	Grapple	T	Set-up		Enters - You may play a submission with Target: T from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.
